image_path,body_part,class_name,file_name,extension,disease_label,body_part_label,split
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Normal Udder\001_30_IMG_gro174291-009-848x565_jpg.rf.e944c77b45a43009c0e9cb35485edfcc.jpg,Udder,Normal Udder,001_30_IMG_gro174291-009-848x565_jpg.rf.e944c77b45a43009c0e9cb35485edfcc.jpg,.jpg,0,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\HolsteinFriesiancattle107.jpg,Torso,Normal Torso,HolsteinFriesiancattle107.jpg,.jpg,0,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\NMC-TCP-chemical-damage1-e1515281879220-400x284.jpeg,Udder,Diseased Udder,NMC-TCP-chemical-damage1-e1515281879220-400x284.jpeg,.jpeg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\BrownSwisscattle115.jpg,Torso,Normal Torso,BrownSwisscattle115.jpg,.jpg,0,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\LSD-124-_png_jpg.rf.7ccb52a7f27860d17c31bb539636cf34.jpg,Torso,Diseased Torso,LSD-124-_png_jpg.rf.7ccb52a7f27860d17c31bb539636cf34.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\HolsteinFriesiancattle52.jpg,Torso,Normal Torso,HolsteinFriesiancattle52.jpg,.jpg,0,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\Picture44-1-400x284.jpg,Udder,Diseased Udder,Picture44-1-400x284.jpg,.jpg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0500-02.jpg,Head,Normal Head,IMG_0500-02.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Ayrshirecattle102.jpg,Head,Normal Head,Ayrshirecattle102.jpg,.jpg,0,0,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\IMG-20220830-WA0191_jpg.rf.6f001775fb00fe26bdca58332a852c49.jpg,Torso,Diseased Torso,IMG-20220830-WA0191_jpg.rf.6f001775fb00fe26bdca58332a852c49.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\BrownSwisscattle127_c.jpg,Torso,Normal Torso,BrownSwisscattle127_c.jpg,.jpg,0,2,test
"c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\1 day vesicle, steer, tongue.jpg",Head,Diseased Head,"1 day vesicle, steer, tongue.jpg",.jpg,1,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\BB19012024165901_front_png_jpg.rf.d09f8d0a4f53a59bbd2c35d0f99471f0.jpg,Head,Normal Head,BB19012024165901_front_png_jpg.rf.d09f8d0a4f53a59bbd2c35d0f99471f0.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\img1015.jpg,Torso,Diseased Torso,img1015.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\temp_file_1700807847011_jpeg_jpg.rf.bfe1c03ff828fb46b1e9155ec5e752b7.jpg,Torso,Normal Torso,temp_file_1700807847011_jpeg_jpg.rf.bfe1c03ff828fb46b1e9155ec5e752b7.jpg,.jpg,0,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\HolsteinFriesiancattle26_c.jpg,Torso,Normal Torso,HolsteinFriesiancattle26_c.jpg,.jpg,0,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\LSD-144-_png_jpg.rf.2249acaca35b4d56f469ccfacdb562eb.jpg,Torso,Diseased Torso,LSD-144-_png_jpg.rf.2249acaca35b4d56f469ccfacdb562eb.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD_3_jpg.rf.09e0953b4e9942b398891e25ad292618.jpg,Head,Diseased Head,FMD_3_jpg.rf.09e0953b4e9942b398891e25ad292618.jpg,.jpg,1,0,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\Diseased udder 5.jpg,Udder,Diseased Udder,Diseased udder 5.jpg,.jpg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\FMD_041_jpg.rf.b541132b95a8f052457bd5725e3463b6.jpg,Foot,Diseased Foot,FMD_041_jpg.rf.b541132b95a8f052457bd5725e3463b6.jpg,.jpg,1,1,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\RedDanecattle109.jpg,Torso,Normal Torso,RedDanecattle109.jpg,.jpg,0,2,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\severe-ringing-blue-teats-congestionKE-e1515291895686-400x284.jpg,Udder,Diseased Udder,severe-ringing-blue-teats-congestionKE-e1515291895686-400x284.jpg,.jpg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Normal Udder\2ccea00d-7be7-41ad-a510-fcfb71ce6c94_Jpg_jpg.rf.1f6d169b4ca2affefc5c836faf741208.jpg,Udder,Normal Udder,2ccea00d-7be7-41ad-a510-fcfb71ce6c94_Jpg_jpg.rf.1f6d169b4ca2affefc5c836faf741208.jpg,.jpg,0,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\Lumpy_Skin_282.png,Torso,Diseased Torso,Lumpy_Skin_282.png,.png,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\ct 1-1 (1)WM-1.jpg,Udder,Diseased Udder,ct 1-1 (1)WM-1.jpg,.jpg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\IMG_20220906_173254_jpg.rf.5a4ce56b0040678fcb5024087915ded6.jpg,Torso,Diseased Torso,IMG_20220906_173254_jpg.rf.5a4ce56b0040678fcb5024087915ded6.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\cattle_mastitis_169_jpg.rf.c274b8ecb3894c17025517cc9710f270.jpg,Udder,Diseased Udder,cattle_mastitis_169_jpg.rf.c274b8ecb3894c17025517cc9710f270.jpg,.jpg,1,3,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Normal Udder\AdobeStock_686808903_Preview_jpeg.rf.9f3a4db8b8e92be32e7ce21433436341.jpg,Udder,Normal Udder,AdobeStock_686808903_Preview_jpeg.rf.9f3a4db8b8e92be32e7ce21433436341.jpg,.jpg,0,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Normal Torso\BrownSwisscattle50.jpg,Torso,Normal Torso,BrownSwisscattle50.jpg,.jpg,0,2,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\Chlorine-pre-dip-used-at-4-parts-chlorine-1-part-waters-manure-solids-bedding-e1515285965121-400x284.jpg,Udder,Diseased Udder,Chlorine-pre-dip-used-at-4-parts-chlorine-1-part-waters-manure-solids-bedding-e1515285965121-400x284.jpg,.jpg,1,3,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0181-02.jpg,Head,Normal Head,IMG_0181-02.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Normal Udder\download (7).jpg,Udder,Normal Udder,download (7).jpg,.jpg,0,3,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\img1393.jpg,Torso,Diseased Torso,img1393.jpg,.jpg,1,2,val
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\red13-e1515365056736-735x1024-1-400x284.jpg,Udder,Diseased Udder,red13-e1515365056736-735x1024-1-400x284.jpg,.jpg,1,3,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_8649-02.jpg,Head,Normal Head,IMG_8649-02.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\Lumpy_Skin_139.png,Torso,Diseased Torso,Lumpy_Skin_139.png,.png,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD__5_jpg.rf.d8d47f461fd207901d742de0a52e14ea.jpg,Head,Diseased Head,FMD__5_jpg.rf.d8d47f461fd207901d742de0a52e14ea.jpg,.jpg,1,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\Lumpy_Skin_184.png,Torso,Diseased Torso,Lumpy_Skin_184.png,.png,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230723074010.jpg,Head,Normal Head,IMG20230723074010.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_8602-00.jpg,Head,Normal Head,IMG_8602-00.jpg,.jpg,0,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Diseased-dental-pad-10_jpg.rf.c09f9956639c9383acd5fe5cd7649e0a.jpg,Head,Diseased Head,Diseased-dental-pad-10_jpg.rf.c09f9956639c9383acd5fe5cd7649e0a.jpg,.jpg,1,0,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Udder\Diseased Udder\dry-skin5-400x284.jpg,Udder,Diseased Udder,dry-skin5-400x284.jpg,.jpg,1,3,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Torso\Diseased Torso\img1254.jpg,Torso,Diseased Torso,img1254.jpg,.jpg,1,2,train
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924142730.jpg,Head,Normal Head,IMG20230924142730.jpg,.jpg,0,0,test
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\-11-_jpg.rf.c0738d766686485afec6f2ce4e104526.jpg,Head,Diseased Head,-11-_jpg.rf.c0738d766686485afec6f2ce4e104526.jpg,.jpg,1,0,val
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_1068-02.jpg,Head,Normal Head,IMG_1068-02.jpg,.jpg,0,0,val
