image_path,body_part,class_name,file_name,extension,disease_label,body_part_label,split,augmented
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\FMD-Knuckles-_192_jpeg.rf.4871a640e847028768f94b1222f50303.jpg,Foot,Diseased Foot,FMD-Knuckles-_192_jpeg.rf.4871a640e847028768f94b1222f50303.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\Non-diseased hoof 1.jpg,Foot,Normal Foot,Non-diseased hoof 1.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\kaki_17h.jpg,Foot,Normal Foot,kaki_17h.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\augmented_fmdf_18.jpg,Foot,Normal Foot,augmented_fmdf_18.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\FMD-Knuckles-_152_jpeg.rf.d80182ccd7da06ca6203f45d04629c57.jpg,Foot,Diseased Foot,FMD-Knuckles-_152_jpeg.rf.d80182ccd7da06ca6203f45d04629c57.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\augmented_fmdf_5.jpg,Foot,Normal Foot,augmented_fmdf_5.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\augmented_fmdf_6.jpg,Foot,Normal Foot,augmented_fmdf_6.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\augmented_fmdf_8.jpg,Foot,Normal Foot,augmented_fmdf_8.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\kaki_1h.jpg,Foot,Normal Foot,kaki_1h.jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\FMD-Knuckles-_64-Copy_jpeg.rf.117a77252cd52b1bb5b67f6465d5aa4f.jpg,Foot,Diseased Foot,FMD-Knuckles-_64-Copy_jpeg.rf.117a77252cd52b1bb5b67f6465d5aa4f.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Normal Foot\kaki_14h(1).jpg,Foot,Normal Foot,kaki_14h(1).jpg,.jpg,0,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\7-day-vesicle-steer-foot-2_jpg.rf.043438f61b68fccc38a4a573a52da95b.jpg,Foot,Diseased Foot,7-day-vesicle-steer-foot-2_jpg.rf.043438f61b68fccc38a4a573a52da95b.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\123qe-58-_jpg.rf.614b8ae66b57dcdcbf3f8aab355b11d2.jpg,Foot,Diseased Foot,123qe-58-_jpg.rf.614b8ae66b57dcdcbf3f8aab355b11d2.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\footlesion2WM-1.jpg,Foot,Diseased Foot,footlesion2WM-1.jpg,.jpg,1,1,train,0
"c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\2 day vesicle, steer, foot, 2.jpg",Foot,Diseased Foot,"2 day vesicle, steer, foot, 2.jpg",.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\14-Copy-10-_jpg.rf.d1e665991e98c14e423bb213484ab7ec.jpg,Foot,Diseased Foot,14-Copy-10-_jpg.rf.d1e665991e98c14e423bb213484ab7ec.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\FMD-Knuckles-_43-Copy_jpeg.rf.bf5277a8092f2021137c0fc93b88fa9b.jpg,Foot,Diseased Foot,FMD-Knuckles-_43-Copy_jpeg.rf.bf5277a8092f2021137c0fc93b88fa9b.jpg,.jpg,1,1,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Foot\Diseased Foot\Diseased foot 24.jpg,Foot,Diseased Foot,Diseased foot 24.jpg,.jpg,1,1,train,0
