image_path,body_part,class_name,file_name,extension,disease_label,body_part_label,split,augmented
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Ayrshirecattle92.jpg,Head,Normal Head,Ayrshirecattle92.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230528085630.jpg,Head,Normal Head,IMG20230528085630.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD_2_jpg.rf.22ac9a13eabdf1d1bc7cedcb1991441c.jpg,Head,Diseased Head,FMD_2_jpg.rf.22ac9a13eabdf1d1bc7cedcb1991441c.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_20230319_072354-01.jpg,Head,Normal Head,IMG_20230319_072354-01.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Non-diseased-muzzle-7_jpg.rf.c65f801d885859e9bd3017f710409313.jpg,Head,Normal Head,Non-diseased-muzzle-7_jpg.rf.c65f801d885859e9bd3017f710409313.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\cm6-8-2WM-1.jpg,Head,Diseased Head,cm6-8-2WM-1.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Drooling cow 2.jpg,Head,Diseased Head,Drooling cow 2.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\HolsteinFriesiancattle137.jpg,Head,Normal Head,HolsteinFriesiancattle137.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\HolsteinFriesiancattle102.jpg,Head,Normal Head,HolsteinFriesiancattle102.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0500-02.jpg,Head,Normal Head,IMG_0500-02.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Diseased tongue 17.jpg,Head,Diseased Head,Diseased tongue 17.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924144737.jpg,Head,Normal Head,IMG20230924144737.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Lumpy_Skin_67.png,Head,Diseased Head,Lumpy_Skin_67.png,.png,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\5_png.rf.90fefac296f21df7398923c8d506f7d3.jpg,Head,Diseased Head,5_png.rf.90fefac296f21df7398923c8d506f7d3.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924143146.jpg,Head,Normal Head,IMG20230924143146.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230723075025.jpg,Head,Normal Head,IMG20230723075025.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\4-foot-mouth-disease-fmd-vesicles-tongue-ulceration_jpg.rf.9d694269a3a8aa837f9903651cc45707.jpg,Head,Diseased Head,4-foot-mouth-disease-fmd-vesicles-tongue-ulceration_jpg.rf.9d694269a3a8aa837f9903651cc45707.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD-cattle-8-Copy-10-_jpg.rf.710efa2bd8ceace0f4c72a5ed89675a9.jpg,Head,Diseased Head,FMD-cattle-8-Copy-10-_jpg.rf.710efa2bd8ceace0f4c72a5ed89675a9.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230723074751.jpg,Head,Normal Head,IMG20230723074751.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\foot-and-mougth-1-_png_jpg.rf.5dfed1108ccd84628ca5d54174d4c58b.jpg,Head,Diseased Head,foot-and-mougth-1-_png_jpg.rf.5dfed1108ccd84628ca5d54174d4c58b.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924145828.jpg,Head,Normal Head,IMG20230924145828.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\6_png.rf.ff12ab32b4c51e61dafa88d98593ddc9.jpg,Head,Diseased Head,6_png.rf.ff12ab32b4c51e61dafa88d98593ddc9.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\-25-_jpg.rf.4c8cce5a981223fa17d3c8efc2a40fd3.jpg,Head,Diseased Head,-25-_jpg.rf.4c8cce5a981223fa17d3c8efc2a40fd3.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0434-01.jpg,Head,Normal Head,IMG_0434-01.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Non-diseased-muzzle-8-with-tongue_jpg.rf.9ec4bb5b3feea510f3e04e5a41af66f5.jpg,Head,Normal Head,Non-diseased-muzzle-8-with-tongue_jpg.rf.9ec4bb5b3feea510f3e04e5a41af66f5.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Diseased tongue 1.jpg,Head,Diseased Head,Diseased tongue 1.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\LS-29_JPG_jpg.rf.c4fbfae8b7bc8e170086188483b82854.jpg,Head,Diseased Head,LS-29_JPG_jpg.rf.c4fbfae8b7bc8e170086188483b82854.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Cows-head-open-mouth-12_jpg.rf.234073510bc6e40cdc2abf3045ac1fbe.jpg,Head,Diseased Head,Cows-head-open-mouth-12_jpg.rf.234073510bc6e40cdc2abf3045ac1fbe.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230723073949.jpg,Head,Normal Head,IMG20230723073949.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\sapi_z_2.jpg,Head,Normal Head,sapi_z_2.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924145428.jpg,Head,Normal Head,IMG20230924145428.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Open mouth with teeth 9.jpg,Head,Normal Head,Open mouth with teeth 9.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\-33-_jpg.rf.40846681f33019bb2ce036dcb06e24fd.jpg,Head,Diseased Head,-33-_jpg.rf.40846681f33019bb2ce036dcb06e24fd.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Lumpy_Skin_240.png,Head,Diseased Head,Lumpy_Skin_240.png,.png,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230723065140.jpg,Head,Normal Head,IMG20230723065140.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\sapi_r_10.jpg,Head,Normal Head,sapi_r_10.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\BB01022024171527_front-png_jpg.rf.6f4c5f89d549e78a2e5b881d412dbed7.jpg,Head,Normal Head,BB01022024171527_front-png_jpg.rf.6f4c5f89d549e78a2e5b881d412dbed7.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Diseased-dental-pad-19_jpg.rf.16b91c2558c5b8bada6201d77f98e40d.jpg,Head,Diseased Head,Diseased-dental-pad-19_jpg.rf.16b91c2558c5b8bada6201d77f98e40d.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0049-01.jpg,Head,Normal Head,IMG_0049-01.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\mouth_5-7_days_1WM.jpg,Head,Diseased Head,mouth_5-7_days_1WM.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230826165255.jpg,Head,Normal Head,IMG20230826165255.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924142844.jpg,Head,Normal Head,IMG20230924142844.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0466-02.jpg,Head,Normal Head,IMG_0466-02.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230924142907.jpg,Head,Normal Head,IMG20230924142907.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD_090_jpg.rf.e61420d9917427b9bbdf2930ca78dbe1.jpg,Head,Diseased Head,FMD_090_jpg.rf.e61420d9917427b9bbdf2930ca78dbe1.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_0219-00.jpg,Head,Normal Head,IMG_0219-00.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\-46-_jpg.rf.232545cdf441b26a2727b71035b9864f.jpg,Head,Diseased Head,-46-_jpg.rf.232545cdf441b26a2727b71035b9864f.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\tongue_4-5_days_WM.jpg,Head,Diseased Head,tongue_4-5_days_WM.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\FMD_12_jpg.rf.ebcd761b20d5a2c9317b0bb1cb67b70e.jpg,Head,Diseased Head,FMD_12_jpg.rf.ebcd761b20d5a2c9317b0bb1cb67b70e.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\Ayrshirecattle38.jpg,Head,Normal Head,Ayrshirecattle38.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Diseased Head\Diseased-dental-pad-48_jpg.rf.67e56cc9b53b8b3a55ded8ab9cd7181f.jpg,Head,Diseased Head,Diseased-dental-pad-48_jpg.rf.67e56cc9b53b8b3a55ded8ab9cd7181f.jpg,.jpg,1,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG_20230319_074450-02.jpg,Head,Normal Head,IMG_20230319_074450-02.jpg,.jpg,0,0,train,0
c:\Users\ezzyo\OneDrive\Desktop\Machine_learning\Dataset\Head\Normal Head\IMG20230727071340_01.jpg,Head,Normal Head,IMG20230727071340_01.jpg,.jpg,0,0,train,0
